iter	Passed	Remaining
0	2	610
1	4	671
2	6	621
3	7	583
4	9	559
5	11	558
6	13	545
7	14	537
8	16	532
9	18	529
10	20	528
11	21	523
12	23	520
13	25	516
14	27	520
15	29	517
16	30	514
17	32	510
18	34	507
19	36	505
20	37	503
21	39	500
22	41	496
23	42	493
24	44	491
25	46	488
26	48	488
27	49	483
28	51	480
29	53	478
30	54	475
31	56	472
32	58	470
33	59	468
34	61	466
35	63	464
36	64	461
37	66	458
38	68	456
39	69	454
40	71	451
41	73	450
42	75	448
43	76	446
44	78	444
45	79	441
46	81	439
47	83	437
48	84	435
49	86	432
50	88	429
51	89	426
52	90	423
53	92	420
54	93	417
55	95	414
56	96	411
57	97	408
58	99	406
59	100	403
60	102	400
61	103	398
62	105	395
63	106	393
64	108	390
65	109	388
66	110	385
67	112	383
68	113	381
69	115	379
70	116	377
71	118	375
72	120	373
73	121	371
74	123	369
75	125	368
76	126	366
77	128	364
78	130	363
79	131	361
80	133	359
81	134	357
82	136	356
83	137	354
84	139	352
85	140	350
86	142	348
87	144	348
88	146	347
89	148	345
90	149	343
91	150	341
92	152	339
93	154	337
94	155	335
95	157	333
96	159	332
97	160	330
98	161	328
99	163	326
100	164	324
101	166	322
102	167	320
103	169	318
104	170	317
105	172	314
106	173	312
107	175	311
108	176	309
109	178	307
110	179	306
111	181	304
112	182	302
113	184	300
114	185	299
115	187	297
116	188	295
117	190	293
118	191	291
119	193	289
120	193	286
121	195	285
122	197	283
123	198	282
124	200	280
125	201	278
126	202	276
127	204	274
128	205	273
129	207	271
130	208	269
131	210	268
132	212	266
133	213	264
134	214	262
135	216	260
136	217	259
137	219	257
138	220	255
139	222	254
140	224	252
141	225	251
142	227	249
143	228	247
144	229	245
145	231	244
146	233	243
147	235	241
148	236	239
149	237	237
150	239	236
151	240	234
152	242	232
153	243	230
154	245	229
155	247	228
156	248	226
157	250	224
158	251	223
159	253	221
160	254	219
161	255	218
162	257	216
163	258	214
164	260	212
165	261	211
166	263	209
167	264	207
168	265	206
169	267	204
170	269	202
171	270	201
172	271	199
173	273	197
174	274	196
175	275	194
176	277	192
177	278	190
178	280	189
179	282	188
180	283	186
181	285	185
182	286	183
183	288	181
184	289	180
185	291	178
186	292	176
187	293	175
188	295	173
189	296	171
190	298	170
191	299	168
192	300	166
193	302	165
194	303	163
195	305	161
196	306	160
197	308	158
198	309	157
199	311	155
200	312	153
201	314	152
202	316	151
203	317	149
204	318	147
205	320	146
206	321	144
207	323	142
208	324	141
209	326	139
210	327	138
211	329	136
212	330	134
213	332	133
214	333	131
215	334	130
216	336	128
217	337	127
218	339	125
219	341	124
220	342	122
221	343	120
222	345	119
223	346	117
224	348	116
225	350	114
226	352	113
227	354	111
228	355	110
229	357	108
230	359	107
231	360	105
232	362	104
233	363	102
234	365	100
235	366	99
236	368	97
237	370	96
238	371	94
239	373	93
240	374	91
241	376	90
242	377	88
243	379	87
244	380	85
245	382	83
246	383	82
247	385	80
248	386	79
249	387	77
250	389	75
251	390	74
252	392	72
253	393	71
254	395	69
255	396	68
256	398	66
257	399	65
258	401	63
259	402	61
260	404	60
261	405	58
262	407	57
263	408	55
264	409	54
265	411	52
266	412	51
267	414	49
268	415	47
269	417	46
270	419	44
271	421	43
272	422	41
273	423	40
274	425	38
275	426	37
276	428	35
277	429	34
278	431	32
279	432	30
280	434	29
281	435	27
282	437	26
283	438	24
284	439	23
285	441	21
286	443	20
287	444	18
288	445	16
289	447	15
290	448	13
291	450	12
292	451	10
293	453	9
294	454	7
295	456	6
296	458	4
297	460	3
298	461	1
299	463	0
